_id,CURRENT BUILDING EVAL SCORE,FENCING,BUILDING CLEANLINESS,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,CLEANING LOG,PEST CONTROL LOG,MAINTENANCE LOG,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,INT. HALLWAY - WALLS / CEILING,LATITUDE,LONGITUDE
465,88,3,3,1,3,3,3,3,3,3,3,43.689964772,-79.3476769455
3490,78,2,2,3,3,1,1,1,1,1,1,43.689996633,-79.411502636
466,81,1,3,3,3,3,3,3,3,3,2,43.690005138,-79.3473462315
475,86,3,2,3,3,3,3,3,3,3,1,43.690063344,-79.343932267
632,97,1,3,3,3,3,3,3,3,3,2,43.690096624,-79.341617755
1459,88,3,3,3,3,3,3,3,3,3,1,43.6901320701,-79.3521100097
568,75,1,2,2,3,3,3,3,3,1,2,43.6901517338,-79.2971549611
120,82,1,3,3,3,3,3,3,3,3,3,43.6901802486,-79.3829319202
469,93,3,3,3,3,3,3,3,3,3,2,43.6902830528,-79.3461159995
477,89,3,2,3,3,3,3,3,3,3,1,43.690315439,-79.343198376
1463,83,3,3,2,3,1,1,1,3,1,1,43.690334748,-79.347960768
2502,90,2,3,3,3,3,3,3,3,3,2,43.6903808073,-79.3529674197
473,89,1,3,N/A,3,3,3,3,3,3,3,43.690409504,-79.345192362
1462,86,3,3,3,3,3,3,3,1,3,3,43.6904194773,-79.350649972
1472,65,3,2,2,2,3,1,1,1,2,1,43.690434125,-79.448380394
480,87,3,2,2,2,3,3,3,3,3,3,43.690476097,-79.342379981
474,84,3,3,3,3,1,1,1,1,1,2,43.690494646,-79.344765353
858,76,3,3,3,3,3,3,3,3,0,1,43.690519401,-79.396663132
476,92,3,3,2,2,3,3,3,3,3,3,43.690536061,-79.344338641
249,74,3,2,3,3,1,1,2,1,1,3,43.690570503,-79.400460705
248,67,1,1,2,3,1,1,1,1,2,1,43.690628939,-79.400166183
1473,68,2,2,2,3,1,1,1,1,1,2,43.69067643,-79.448458776
857,94,3,3,3,3,3,3,3,3,3,3,43.69068475,-79.395885257
2038,79,1,2,2,3,1,1,1,1,1,2,43.690686289,-79.455914851
478,75,3,3,2,3,1,1,1,1,1,2,43.690741945,-79.343736902
479,98,3,3,3,3,3,3,3,3,3,3,43.690768756,-79.343386205
676,98,3,3,3,3,3,3,3,3,3,3,43.6907938758,-79.3550051135
