Total - Visible minority for the population in private households - 25% sample data,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Arab,    Latin American,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Neighbourhood Number
13200,3550,280,340,815,355,55,1005,160,40,40,85,145,235,9650,92
12800,3875,380,770,925,280,60,525,235,50,155,75,70,345,8925,94
29300,8380,1360,2180,1220,435,395,635,220,445,575,330,100,485,20920,95
11350,2695,505,580,410,190,75,275,120,135,70,95,80,160,8655,96
12905,3190,650,470,380,260,145,415,90,230,170,115,75,190,9710,97
20080,4325,965,1170,470,255,145,420,60,275,115,140,60,250,15750,98
16370,4745,670,1135,530,525,120,480,115,300,275,115,135,345,11625,99
12405,3740,665,895,365,225,160,475,100,170,320,110,50,205,8670,100
10860,2410,385,555,320,405,75,215,45,100,45,55,70,135,8455,101
12295,3785,260,250,520,1515,55,480,55,175,100,45,65,260,8505,102
14960,3595,790,1150,210,335,100,130,115,210,165,105,40,235,11360,103
14675,3975,600,1775,185,195,55,200,75,245,275,115,45,200,10700,105
13845,4385,470,350,885,1365,110,470,150,55,125,105,50,240,9460,106
20710,8930,735,735,2690,1960,80,1470,255,140,165,70,200,445,11780,107
14575,7155,565,460,1190,2845,60,1045,210,145,145,35,120,335,7420,108
10015,4030,350,250,755,860,45,945,235,85,40,30,200,235,5985,109
11385,4780,530,185,1290,850,35,1140,235,20,70,20,130,275,6610,110
22240,10645,995,670,3350,765,180,2545,1160,95,70,70,415,335,11590,111
6260,3805,425,55,1900,485,55,400,195,40,0,0,150,95,2455,112
18680,12045,780,225,7080,905,150,1340,585,100,50,15,300,525,6625,113
7965,2165,280,205,830,240,20,205,20,35,70,45,35,175,5800,114
13055,9370,670,205,4225,975,145,1330,820,70,90,40,245,545,3690,115
22760,20830,1680,16150,765,765,385,85,170,100,65,45,175,460,1935,116
27205,21185,4655,8195,2105,2585,725,385,375,695,225,85,405,755,6020,118
28340,17620,5205,1575,2250,3670,1615,580,385,790,180,75,550,730,10730,119
26840,18010,6935,1925,3195,2820,310,395,295,570,140,160,555,710,8825,120
13705,10580,4955,645,2720,820,235,190,195,230,20,55,160,355,3120,121
22700,6920,2445,1055,1165,565,125,325,110,240,80,155,210,450,15785,122
16130,7950,3670,620,1250,970,130,180,70,235,75,65,240,445,8185,123
17105,13120,5235,890,2360,2545,210,295,275,265,65,30,475,475,3985,124
13365,10130,3715,610,1795,2385,155,255,190,135,10,45,295,535,3240,125
24305,19715,7295,2570,2225,3535,1160,290,245,735,105,50,635,865,4590,126
24170,21045,5265,10505,1775,1120,215,375,310,270,130,35,410,645,3120,128
27540,25390,5290,15025,1450,1515,200,180,270,195,55,40,240,940,2155,129
23980,22790,2810,16595,1050,1075,55,110,225,145,30,45,90,550,1190,130
13385,6500,2575,820,1090,635,135,155,85,180,80,55,335,365,6885,133
12630,9920,5405,955,1435,825,45,140,185,170,50,35,350,330,2705,134
17660,14245,5810,655,3255,2205,295,275,325,390,100,15,560,365,3410,135
28135,19885,6610,895,5990,2675,330,715,365,610,40,45,730,880,8250,136
22535,18350,7270,700,4165,3285,320,440,225,635,0,65,585,645,4185,138
16525,12825,5505,480,3220,1370,315,275,155,780,35,20,270,400,3695,139
9680,3660,1245,450,880,435,50,100,60,40,15,75,50,245,6020,140
27085,21655,12165,505,3805,2380,305,430,210,520,55,60,715,490,5435,141
26585,21790,11585,2505,2645,2085,305,350,255,755,65,85,545,610,4795,142
20670,13870,5465,755,3560,1615,235,235,160,310,100,65,530,840,6800,143
24940,24050,15370,1135,2675,2255,210,225,235,250,0,0,1005,685,890,144
17320,15920,8045,1120,2910,2105,200,180,205,180,20,0,425,530,1400,145
26100,23285,9350,1805,5065,3330,325,530,345,215,85,35,1260,940,2810,146
21545,15400,2995,6130,2175,960,815,280,265,770,225,60,300,410,6145,147
21495,18540,4200,8995,1770,1625,210,230,320,275,100,35,205,575,2955,148
13965,7085,1300,1240,1250,675,485,440,110,595,310,200,130,350,6880,149
20510,13735,3000,1610,3070,1630,820,750,255,1170,290,120,470,540,6775,150
