_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
837,GO-2022807321,2022,2022-05-01,626,2022,2022-05-01,626,D23,"Open Area, Park or Parking Lot",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),No
838,GO-2022808810,2022,2022-05-01,1030,2022,2022-05-01,1335,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),No
839,GO-2022822665,2022,2022-05-03,839,2022,2022-05-14,625,D51,Public Transportation,NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),No
840,GO-2022861180,2022,2022-05-08,2130,2022,2022-05-08,2140,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,None,None,None,Muslim,None,None,No,Disturbing Religious Worship Or Certain Meetings,027,York University Heights (27),027,York University Heights (27),Yes
841,GO-2022877834,2022,2022-05-11,614,2022,2022-05-11,614,D42,Public Transportation,NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,145,Malvern West (145),132,Malvern (132),No
842,GO-2022889066,2022,2022-05-12,1030,2022,2022-05-12,1539,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,068,North Riverdale (68),068,North Riverdale (68),No
843,GO-2022894232,2022,2022-05-12,1700,2022,2022-05-13,1528,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,010,Princess-Rosethorn (10),010,Princess-Rosethorn (10),No
844,GO-2022886125,2022,2022-05-12,744,2022,2022-05-16,1546,D14,Public Transportation,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,095,Annex (95),095,Annex (95),No
845,GO-2022896885,2022,2022-05-13,1625,2022,2022-05-13,1625,D32,Public Transportation,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),No
846,GO-2022895878,2022,2022-05-13,1414,2022,2022-05-13,1615,NSA,Other Commercial / Corporate Places ,NO,NO,None,None,None,None,None,Transgender,No,Assault,NSA,NSA,NSA,NSA,No
